"IRMAReferenceNumber","SciName"
"574549","Rhamnus cathartica"
"574549","Cirsium arvense"
"574549","Alliaria petiolata"
"574549","Polygonum cuspidatum"
"574549","Pueraria montana"
"574549","Iris pseudacorus"
"574549","Ailanthus altissima"
"574549","Lepidium latifolium"
"574549","Arundo donax"
"574549","Heracleum mantegazzianum"
"574549","Centaurea solstitialis"
"574549","Hieracium aurantiacum"
"574549","Isatis tinctoria"
"574549","Taeniatherum caput-medusae"
"574549","Chondrilla juncea"
"574549","Gypsophila paniculata"
"574549","Centaurea virgata"
"574549","Linaria dalmatica"
"574549","Euphorbia myrsinites"
"574549","Dipsacus fullonum"
"574549","Salvia aethiopis"
"574549","Ventenata dubia"
"574549","Achnatherum robustum"
"574549","Botrychium campestre"
"574549","Botrychium lineare"
"574549","Botrychium simplex"
"574549","Clematis hirsutissima"
"574549","Cryptantha cana"
"574549","Cypripedium parviflorum"
"574549","Echinocereus viridiflorus"
"574549","Elymus diversiglumis"
"574549","Ericameria parryi"
"574549","Erigeron acris"
"574549","Erigeron ochroleucus"
"574549","Ipomopsis spicata"
"574549","Phleum alpinum"
"574549","Physaria arenosa"
"574549","Thelesperma megapotamicum"
"574549","Townsendia exscapa"
"574549","Townsendia hookeri"
"574549","Viburnum edule"
"574549","Bromus inermis"
"574549","Bromus japonicus"
"574549","Bromus tectorum"
"574549","Carduus nutans"
"574549","Cirsium vulgare"
"574549","Onopordum acanthium"
"574549","Cynoglossum officinale"
"574549","Verbascum thapsus"
"574549","Yucca glauca"
"574549","Rhus aromatica"
"574549","Rhus trilobata"
"574549","Toxicodendron rydbergii"
"574549","Musineon tenuifolium"
"574549","Asclepias ovalifolia"
"574549","Asclepias pumila"
"574549","Asclepias stenophylla"
"574549","Asclepias viridiflora"
"574549","Achillea millefolium"
"574549","Agoseris glauca"
"574549","Ambrosia psilostachya"
"574549","Antennaria microphylla"
"574549","Antennaria neglecta"
"574549","Antennaria parvifolia"
"574549","Artemisia campestris"
"574549","Artemisia dracunculus"
"574549","Artemisia frigida"
"574549","Artemisia ludoviciana"
"574549","Brickellia eupatorioides"
"574549","Cirsium undulatum"
"574549","Conyza canadensis"
"574549","Conyza ramosissima"
"574549","Echinacea angustifolia"
"574549","Erigeron canus"
"574549","Erigeron flagellaris"
"574549","Erigeron subtrinervis"
"574549","Grindelia squarrosa"
"574549","Gutierrezia sarothrae"
"574549","Helianthus pauciflorus"
"574549","Heterotheca villosa"
"574549","Lactuca serriola"
"574549","Liatris punctata"
"574549","Logfia arvensis"
"574549","Lygodesmia juncea"
"574549","Mulgedium oblongifolium"
"574549","Packera plattensis"
"574549","Pseudognaphalium macounii"
"574549","Ratibida columnifera"
"574549","Solidago missouriensis"
"574549","Solidago mollis"
"574549","Solidago nemoralis"
"574549","Solidago rigida"
"574549","Solidago speciosa"
"574549","Symphyotrichum falcatum"
"574549","Symphyotrichum laeve"
"574549","Symphyotrichum oblongifolium"
"574549","Taraxacum officinale"
"574549","Tetraneuris acaulis"
"574549","Tragopogon dubius"
"574549","Xanthisma spinulosum"
"574549","Lappula occidentalis"
"574549","Lithospermum incisum"
"574549","Mertensia lanceolata"
"574549","Onosmodium bejariense"
"574549","Alyssum desertorum"
"574549","Arabis hirsuta"
"574549","Camelina microcarpa"
"574549","Descurainia pinnata"
"574549","Draba reptans"
"574549","Erysimum capitatum"
"574549","Lepidium densiflorum"
"574549","Physaria ludoviciana"
"574549","Sisymbrium altissimum"
"574549","Thlaspi arvense"
"574549","Opuntia fragilis"
"574549","Opuntia macrorhiza"
"574549","Opuntia polyacantha"
"574549","Campanula rotundifolia"
"574549","Triodanis perfoliata"
"574549","Symphoricarpos occidentalis"
"574549","Cerastium arvense"
"574549","Paronychia depressa"
"574549","Silene antirrhina"
"574549","Silene drummondii"
"574549","Silene latifolia"
"574549","Silene noctiflora"
"574549","Helianthemum bicknellii"
"574549","Tradescantia bracteata"
"574549","Tradescantia occidentalis"
"574549","Juniperus communis"
"574549","Juniperus scopulorum"
"574549","Carex brevior"
"574549","Carex duriuscula"
"574549","Carex filifolia"
"574549","Carex inops"
"574549","Carex praegracilis"
"574549","Cystopteris fragilis"
"574549","Euphorbia spathulata"
"574549","Amorpha canescens"
"574549","Astragalus agrestis"
"574549","Astragalus crassicarpus"
"574549","Astragalus flexuosus"
"574549","Astragalus gilviflorus"
"574549","Astragalus gracilis"
"574549","Astragalus laxmannii"
"574549","Dalea candida"
"574549","Dalea purpurea"
"574549","Glycyrrhiza lepidota"
"574549","Medicago lupulina"
"574549","Melilotus officinalis"
"574549","Oxytropis sericea"
"574549","Pediomelum argophyllum"
"574549","Pediomelum esculentum"
"574549","Psoralidium tenuiflorum"
"574549","Vicia americana"
"574549","Ribes aureum"
"574549","Ribes oxyacanthoides"
"574549","Sisyrinchium montanum"
"574549","Hedeoma hispida"
"574549","Monarda fistulosa"
"574549","Salvia reflexa"
"574549","Maianthemum stellatum"
"574549","Linum lewisii"
"574549","Sphaeralcea coccinea"
"574549","Toxicoscordion venenosum"
"574549","Oenothera serrulata"
"574549","Oenothera suffrutescens"
"574549","Oxalis stricta"
"574549","Pinus ponderosa"
"574549","Plantago patagonica"
"574549","Synthyris wyomingensis"
"574549","Achnatherum hymenoides"
"574549","Andropogon gerardii"
"574549","Aristida purpurea"
"574549","Bouteloua curtipendula"
"574549","Bouteloua dactyloides"
"574549","Bouteloua gracilis"
"574549","Bouteloua hirsuta"
"574549","Bromus anomalus"
"574549","Bromus porteri"
"574549","Calamovilfa longifolia"
"574549","Danthonia spicata"
"574549","Dichanthelium linearifolium"
"574549","Dichanthelium oligosanthes"
"574549","Dichanthelium wilcoxianum"
"574549","Elymus canadensis"
"574549","Elymus elymoides"
"574549","Elymus repens"
"574549","Elymus trachycaulus"
"574549","Festuca saximontana"
"574549","Hesperostipa comata"
"574549","Hesperostipa spartea"
"574549","Koeleria macrantha"
"574549","Muhlenbergia cuspidata"
"574549","Muhlenbergia paniculata"
"574549","Muhlenbergia racemosa"
"574549","Nassella viridula"
"574549","Pascopyrum smithii"
"574549","Piptatherum micranthum"
"574549","Poa compressa"
"574549","Poa pratensis"
"574549","Schizachyrium scoparium"
"574549","Sorghastrum nutans"
"574549","Sporobolus cryptandrus"
"574549","Sporobolus heterolepis"
"574549","Vulpia octoflora"
"574549","Phlox alyssifolia"
"574549","Phlox andicola"
"574549","Phlox hoodii"
"574549","Polygala alba"
"574549","Polygonum aviculare"
"574549","Androsace occidentalis"
"574549","Anemone cylindrica"
"574549","Anemone patens"
"574549","Clematis ligusticifolia"
"574549","Amelanchier alnifolia"
"574549","Cercocarpus montanus"
"574549","Drymocallis arguta"
"574549","Fragaria virginiana"
"574549","Geum triflorum"
"574549","Physocarpus monogynus"
"574549","Potentilla concinna"
"574549","Potentilla hippiana"
"574549","Potentilla pensylvanica"
"574549","Prunus americana"
"574549","Prunus virginiana"
"574549","Rosa arkansana"
"574549","Galium boreale"
"574549","Heuchera richardsonii"
"574549","Castilleja sessiliflora"
"574549","Nuttallanthus texanus"
